"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712254283-9338","https://qatarsale.com/en/product/land_rover_evoque_black_suv_automatic_2023-193220","Land Rover","Land Rover-Evoque","Land Rover-Land Rover-Evoque-Standard-4-Automatic","2023","209,000"," 24,000","252,571.14",20.8474339573779,"2,017.25","  5,866.126","99,204.17","163,511.52615","-10,144.5559"
"1712256705-15675","https://qatarsale.com/en/product/land_rover_range_rover_sport_super_charged_red_suv_automatic_2016-209577","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport Super charged-8-Automatic","2016","117,000"," 68,000","146,028.89",24.8110187297972,"2,015.75","116,452.61","123,702.27"," 12,224.01"," 10,102.6099"
"1712256133-14150","https://qatarsale.com/en/product/land_rover_range_rover_sport_super_charged_red_suv_automatic_2016-195069","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Sport Super charged-8-Automatic","2016","118,000"," 71,000","143,854.07",21.9102300008832,"2,015.75","116,452.61","123,702.27"," 12,224.01","  7,927.7893"
"1712255924-13578","https://qatarsale.com/en/product/land_rover_range_rover_vogue_se_super_charged_black_suv_automatic_2017-208112","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Vogue SE Super charged-8-Automatic","2017","135,000"," 79,300","202,081.11",49.6897135338582,"2,016.25","105,170.07","170,477.27"," 23,780.664","  7,823.1768"
"1712257211-16888","https://qatarsale.com/en/product/land_rover_range_rover_vogue_se_gray_suv_automatic_2020-213629","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Vogue SE-8-Automatic","2020","185,000"," 54,000","277,906.70",50.219838875638,"2,016.762"," 46,449.00","179,999.95","104,065.75"," -6,158.997"
"1712257224-16954","https://qatarsale.com/en/product/land_rover_range_rover_vogue_se_gray_suv_automatic_2020-213629","Land Rover","Land Rover-Range Rover","Land Rover-Land Rover-Range Rover-Vogue SE-8-Automatic","2020","185,000"," 54,000","277,906.70",50.219838875638,"2,016.762"," 46,449.00","179,999.95","104,065.75"," -6,158.997"
"1712255763-13177","https://qatarsale.com/en/product/lexus_lx_570_white_suv_automatic_2017-207183","Lexus","Lexus-LX","Lexus-Lexus-LX-570-8-Automatic","2017","197,000"," 33,000","265,688.02",34.8670165762989,"2,016.311","168,068.45","200,980.25"," 19,524.29","  45,183.4787"
"1712257211-16896","https://qatarsale.com/en/product/lexus_rx_350_white_suv_automatic_2020-211550","Lexus","Lexus-RX","Lexus-Lexus-RX-350-6-Automatic","2020","130,000"," 33,000","168,147.40",29.344154925107,"2,018.952"," 51,456.718","147,523.76"," 17,596.85","  3,026.784639"
"1712256625-15462","https://qatarsale.com/en/product/mercedes_benz_e_class_200_white_sedan_automatic_2016-211822","Mercedes-Benz","Mercedes-Benz-E-Class","Mercedes-Benz-Mercedes-Benz-E-Class-200-4-Automatic","2016"," 59,000"," 78,000"," 73,817.50",25.1144138898181,"2,019.509"," 96,517.498","143,951.93"," -72,035.045","  1,900.6192"
"1712255069-11423","https://qatarsale.com/en/product/mercedes_benz_e_class_400_black_sedan_automatic_2016-201947","Mercedes-Benz","Mercedes-Benz-E-Class","Mercedes-Benz-Mercedes-Benz-E-Class-400-6-Automatic","2016"," 82,000"," 34,000","101,554.06",23.8464110253822,"2,016.182","101,071.43","100,454.36"," -7,940.256","  9,039.9499"
"1712257051-16463","https://qatarsale.com/en/product/mercedes_benz_s_class_450_black_sedan_automatic_2020-213281","Mercedes-Benz","Mercedes-Benz-S-Class","Mercedes-Benz-Mercedes-Benz-S-Class-450-6-Automatic","2020","195,000"," 55,000","268,258.76",37.5685969387608,"2,018.804"," 60,646.77","230,411.76","  37,569.685","    277.3141"
"1712257277-17096","https://qatarsale.com/en/product/mercedes_benz_s_class_450_black_sedan_automatic_2020-212825","Mercedes-Benz","Mercedes-Benz-S-Class","Mercedes-Benz-Mercedes-Benz-S-Class-450-6-Automatic","2020","195,000"," 55,000","268,258.76",37.5685969387608,"2,018.804"," 60,646.77","230,411.76","  37,569.685","    277.3141"
"1712256062-13980","https://qatarsale.com/en/product/mini_cooper_jcw_black_hatchback_automatic_2023-202351","Mini","Mini-Cooper","Mini-Mini-Cooper-JCW-4-Automatic","2023","100,000"," 73,000","135,227.37",35.2273677584892,"2,019.645","35,486.11","106,903.19"," 38,693.925","-10,369.7503"
"1712256918-16126","https://qatarsale.com/en/product/mini_cooper_s_beige_hatchback_automatic_2020-192237","Mini","Mini-Cooper","Mini-Mini-Cooper-S-4-Automatic","2020"," 65,000"," 34,000"," 93,813.55",44.3285413836423,"2,019.755","53,280.49","89,905.64","  1,955.963"," 1,951.94786"
"1712256970-16242","https://qatarsale.com/en/product/mini_cooper_red_hatchback_automatic_2020-156720","Mini","Mini-Cooper","Mini-Mini-Cooper-Standard-4-Automatic","2020"," 73,000"," 54,000"," 87,794.52",20.2664647571613,"2,019.32","44,333.33","81,120.00","  8,931.818","-2,257.298909"
"1712257522-17738","https://qatarsale.com/en/product/mitsubishi_eclipse_cross_highline_white_suv_automatic_2022-158985","Mitsubishi","Mitsubishi-Eclipse","Mitsubishi-Mitsubishi-Eclipse-Cross Highline-4-Automatic","2022"," 69,500","      0"," 88,663.65",27.5735927584456,"2,021.267","34,255.952","76,166.67","  7,889.8810"," 4,607.0993"
"1712251179-795","https://qatarsale.com/en/product/mitsubishi_fuso_canter_white_pick_up_manual_2020-11169","Mitsubishi","Mitsubishi-Fuso Canter","Mitsubishi-Mitsubishi-Fuso Canter-Standard-4-Manual","2020"," 83,000","      0","102,035.05",22.9337991599568,"2,018.368"," 78,056.93","79,052.58"," 11,654.027","11,328.4469"
"1712254843-10848","https://qatarsale.com/en/product/nissan_navara_white_pick_up_automatic_2017-199656","Nissan","Nissan-Navara","Nissan-Nissan-Navara-Standard-4-Automatic","2017","35,995"," 36,751","49,329.03",37.0441248321525,"2,018.182","63,366.67","50,354.09"," -2,802.841"," 1,777.7827"
